prefix_idx,accuracy,correct,total
0,23.333333333333332,14,60
1,43.333333333333336,26,60
2,46.666666666666664,28,60
3,50.877192982456144,29,57
4,60.0,30,50
5,60.526315789473685,23,38
6,53.57142857142857,15,28
7,41.66666666666667,10,24
8,52.38095238095239,11,21
9,41.17647058823529,7,17
10,23.076923076923077,3,13
11,23.076923076923077,3,13
12,33.33333333333333,4,12
13,50.0,5,10
14,14.285714285714285,1,7
15,42.857142857142854,3,7
16,40.0,2,5
17,20.0,1,5
18,0.0,0,3
19,100.0,1,1
20,100.0,1,1
21,100.0,1,1
22,100.0,1,1
23,0.0,0,1
24,100.0,1,1
